d_x,n,method,label,mse,rmse,rmse_ci_low,rmse_ci_high,mean_kernel_ess,mean_mis_occupied_state_fraction,mean_mis_singleton_fraction,mean_mis_target_weighted_cell_ess
4,2000,exact_finite_horizon_mis,FH-MIS,3.3602372731154705e-06,0.0018330949983881007,0.001682503795655509,0.001973859108135378,456.69729054970963,0.70294140625,0.052550097878740036,28.595939031911033
4,2000,full_pdis,FH PDIS,0.0013512993473191307,0.03676002376657462,0.033881926869231735,0.03968453466673658,456.69729054970963,0.70294140625,0.052550097878740036,28.595939031911033
4,2000,ours_k5,Ours,4.187270311377399e-06,0.00204628207033571,0.0018667628693738987,0.0022283598855935083,456.69729054970963,0.70294140625,0.052550097878740036,28.595939031911033
4,2000,self_normalized_pdis,SN-PDIS,1.3277354207052678e-05,0.0036438103966936423,0.0033483406340402097,0.003959174563600866,456.69729054970963,0.70294140625,0.052550097878740036,28.595939031911033
4,2000,sequential_dr,Sequential DR,1.3507265551099952e-05,0.0036752231974534486,0.0033550951969355904,0.003985824973024495,456.69729054970963,0.70294140625,0.052550097878740036,28.595939031911033
4,2000,trajectory_is,FH IS,0.0016127267354997797,0.04015876909841461,0.037216761928919595,0.0432229070280375,456.69729054970963,0.70294140625,0.052550097878740036,28.595939031911033
8,2000,exact_finite_horizon_mis,FH-MIS,3.842436590329556e-06,0.001960213404282696,0.0018179306119566136,0.0021047280147215167,456.2872584357095,0.5918671875,0.06590123447554645,2.8340403517360535
8,2000,full_pdis,FH PDIS,0.0013954311703843368,0.0373554704211356,0.03407535261010868,0.040881489394774734,456.2872584357095,0.5918671875,0.06590123447554645,2.8340403517360535
8,2000,ours_k5,Ours,5.297155514657447e-06,0.0023015550209928605,0.002100336009333123,0.002508512584220566,456.2872584357095,0.5918671875,0.06590123447554645,2.8340403517360535
8,2000,self_normalized_pdis,SN-PDIS,1.488992043119961e-05,0.0038587459661397266,0.0035242557327802245,0.004180937786582297,456.2872584357095,0.5918671875,0.06590123447554645,2.8340403517360535
8,2000,sequential_dr,Sequential DR,1.5016476978386716e-05,0.003875109931135724,0.0035461901330409757,0.004197694357946744,456.2872584357095,0.5918671875,0.06590123447554645,2.8340403517360535
8,2000,trajectory_is,FH IS,0.0016679693296171205,0.04084078022782034,0.03718766254170119,0.04473408477912329,456.2872584357095,0.5918671875,0.06590123447554645,2.8340403517360535
12,2000,exact_finite_horizon_mis,FH-MIS,5.387372752819471e-06,0.0023210714665471786,0.002136257887952065,0.0025119245316447118,455.5848327758824,0.193855224609375,0.7819266931968023,1.127772587716765
12,2000,full_pdis,FH PDIS,0.0017106005922265309,0.04135940754201553,0.03792429463594308,0.044960094339490976,455.5848327758824,0.193855224609375,0.7819266931968023,1.127772587716765
12,2000,ours_k5,Ours,4.687019167522654e-06,0.002164952463109214,0.002036038572344443,0.002300179190258558,455.5848327758824,0.193855224609375,0.7819266931968023,1.127772587716765
12,2000,self_normalized_pdis,SN-PDIS,1.5097030853272529e-05,0.003885489782932459,0.0035617997955738685,0.004225472098489799,455.5848327758824,0.193855224609375,0.7819266931968023,1.127772587716765
12,2000,sequential_dr,Sequential DR,1.53236343844219e-05,0.0039145414015465336,0.003557541660683269,0.004276299506742946,455.5848327758824,0.193855224609375,0.7819266931968023,1.127772587716765
12,2000,trajectory_is,FH IS,0.002033756152507807,0.04509718563843876,0.04126571053806946,0.048845649350613286,455.5848327758824,0.193855224609375,0.7819266931968023,1.127772587716765
16,2000,exact_finite_horizon_mis,FH-MIS,1.1475124295267895e-05,0.003387495283431092,0.0031131902463056387,0.003663385868634604,458.02184901019916,0.014999585151672363,0.9829515336148839,1.0091310531856923
16,2000,full_pdis,FH PDIS,0.001299591893010315,0.036049852884724995,0.032823307283815974,0.03950027301658454,458.02184901019916,0.014999585151672363,0.9829515336148839,1.0091310531856923
16,2000,ours_k5,Ours,5.299229454879971e-06,0.0023020055288552133,0.002148207247908003,0.0024551760998958853,458.02184901019916,0.014999585151672363,0.9829515336148839,1.0091310531856923
16,2000,self_normalized_pdis,SN-PDIS,1.3734631991280834e-05,0.0037060264423342737,0.003397596246008166,0.004002402175385346,458.02184901019916,0.014999585151672363,0.9829515336148839,1.0091310531856923
16,2000,sequential_dr,Sequential DR,1.3442453574625093e-05,0.003666395174367473,0.003371299477604782,0.003964811344388796,458.02184901019916,0.014999585151672363,0.9829515336148839,1.0091310531856923
16,2000,trajectory_is,FH IS,0.001557470121157607,0.039464795972583046,0.03598564019890165,0.043234737297065964,458.02184901019916,0.014999585151672363,0.9829515336148839,1.0091310531856923
